Country;Nodes
United States;539
Germany;243
China;14
Turkey;10
Bahrain;7
Poland;3
Netherlands;12
Spain;3
New Zealand;1
Australia;14
Switzerland;8
Indonesia;4
Belgium;9
Bulgaria;1
UK;32
France;33
South Africa;7
Ireland;37
Sweden;10
Finland;25
Japan;39
Bermuda;1
Vietnam;1
Austria;1
India;23
Norway;1
Chile;1
Brazil;8
Thailand;1
Czechia;2
Italy;5
Canada;24
Lithuania;7
South Korea;13
United Arab Emirates;5
Singapore;57
Croatia;1
Taiwan;1
