Host;Stake;Relays;Uniq
SUPERLOOP;323720;2;2
Cogeco;323300;5;3
RVO;296710;1;1
Datacenter;296710;2;1
Coolhousing;275930;2;1
RIMU;262930;1;1
O;249440;2;2
VODAFONE;237740;1;1
TELUS-HSIA-VANCBC06;232500;1;1
Abul;230530;2;1
Siminn;222010;1;1
Hringidan;222010;1;1
CETIN;218140;1;1
BOL;218140;1;1
hkcolo;205820;2;1
Gigafy;196010;1;1
T-mobile;195490;2;1
SingNet;183430;1;1
Ets;181160;1;1
World;178470;1;1
eww;173000;4;2
Elisa;169540;2;2
Centrilogic;156020;5;1
StarHub;151210;1;1
M1;151210;1;1
SK;129740;2;1
Yelles;128110;2;1
MTN;127730;1;1
TekSavvy;127470;1;1
UCLOUD;125730;2;1
Access;123920;1;1
Michael;117790;2;1
InfraCom;108530;3;1
INFONET;101580;1;1
ALICLOUD-SG;99630;1;1
Gransy;97690;2;1
TH;96890;1;1
ANEXIA;96630;1;1
MEO;93760;2;1
Nodisto;92450;1;1
Greenlight;91910;2;1
Datasoft;90700;1;1
AVONET;90370;1;1
Nej;90370;1;1
Assurance;89760;1;1
Uniti;89760;1;1
HostHatch;88500;1;1
Wowrack;83400;2;1
Oxio;81960;2;1
Freedom;81320;1;1
Nessus;77370;1;1
Tmnet;63530;2;1
City;57650;1;1
Devoli;53880;1;1
Philippine;53540;1;1
Leaseweb;53540;1;1
Consolidated;51500;1;1
Hiper;50820;3;1
Globe;48980;1;1
RCS;48110;2;1
Hong;47920;2;1
A2;46100;1;1
Nautile;45980;1;1
ENTEL;44120;2;1
Bouygues;43960;1;1
PCCW;43500;2;1
Tele2;40460;2;1
Kamatera;39900;1;1
Cybernet;37340;1;1
Ting;36820;1;1
Init7;35530;1;1
NOS;32380;1;1
Okay-Telecom;32230;1;1
