Identity;Vote_account;Active_stake
5N1i1NsJ3ktbReS9dk8LqS3dB62wgcRkhThJsfhTCFzz;9DBZwngoxasx4uf2FxUaDpgWTTDo6RGthsEzTxVCWW8c;77755.9392
Cbffhd9FrPZHzTSPboS6jRNfTfmjzJUBgMy1ukfvzKx8;D55pKEVajSQJtxCfF65UJLSXkTpCRaEqrC3a6GRDj1CD;77748.7453
9Q4RU2YKvwGBS914H9X6QmLpeqQmTveaoF8Az2WmgaP8;Epu1tYwAgzY4sGHzwcG9rtUfYfjP6FVmnrrATcfW5TSE;77748.6098
73ET66kH1rxnkTByem6r7CX37Wc1FGmmBtP5uWYzjAs9;6CSENi9ZT4iMQGgWi7mBBe9bKwe5qKamcJg6MAANTzrN;77748.3682
Z8iSybixp2TVkezfzoLHRk8iHYMtbm9TrznDarFZirD;6SQJfKXxqacQpYmCNtqvabV6kfHrPGqXm9q2iH7zsied;77748.1024
DziZfhYj5RcXFvanmsfmtRqwRteSNDnTgLNEawdZww9J;Gk8yrBiy3gBWCgnHaXcEeMEyCZf9sK3kvTaSdAQAj7zm;77747.6019
7mcgHPHLfdoVn1JV9pQp6y8dbx2QF4n1STRCyG9wJ9rV;5cXLZKeTuRm95ng96K2qCdxB2kSU1ajW291HmEkNpXkM;77746.0628
4ABRDxRkCGMTRE6G4vpPTX83yAXiLFWFGUaiqmEtEZdS;GqvPcJeVFuPit75RaFF2FuDo6jWS2E49DtJSyanzwcEs;77744.6512
J6DAqR5GQPYSw8Cwc92d54MeBKEEDtUmF9z48Rj67Me2;CbmFtfoXWuhSxo9GDJHBBrkszbPawKeQmaW9JQr8cgyf;77744.612
A1cdmWiqUBPjoixuE7NnXdqJ3L2QzVxjgz7Mk5Cy9FRK;AoKSLaJyKvLPpW8WAxgG9LV7rd6BfMzyr1pyKSw31SJS;77743.1892
6mT78jmg7L8mf5Zuhvi9URqB8BferibueYWjaZh8Tphy;5jfGwxqrdtXkz6qYb78qHx1vsU3CjzHvQizjnFmXPF1D;77742.9371
9kQ57y8goFj5P8packrv12KCM7GWGhdXZcCUjJXjif6g;LZrqGh6cErfu2PdTUgPEzzuxKYynKD1dTkDGVbPLtDc;77742.758
C4bgengueVA9cRcprjutgu9XgvgoaaFnCqvpZaPy27xx;7DCb5VuNx9XFqsaEgERyb5mwwRunDNtLRudCEoqhcz6N;77742.1038
Cpdx8bAwWbF8T6e8Zfs1jiFHyTcqi2tuYogG1rXMUV9z;FE1asX5GjBTUEHwdFg8XziDh3phxhkDp8Fbh16wr6vGY;77742.0145
D6AjfG1PzzzDAubmVoqH4iFHDSvwJbMmPNByvK9jdYRm;6xyYaQaRwM2XtKykicXL7FdrtBqpxWQs1UsjQhcC1Uqy;77740.3085
2FMWJN52AeqnoTECeicyk724fJbMZLXVyMopBWThyZ1U;DGGJ4j2EPZdnDP3HugibBE57pzNd7kERFaWyJnsN4ho5;77739.8197
94nRfNEua2iKpbjxzozNczrGK94Z7zfq2AcG3T73HPEd;3YCCGCuCicRggDgdK3ixZWXNPVRYfQxvytDUgHFrRFJ4;77737.6293
Block Aegis;CvfYpW8gRQ7bHy9uvuvqy2vpcNmXuBnvaoa2AC8pGHJx;77736.7119
2GwaeV7SiuJMyUxaRLMcSRHo6ZEf8oVXvDmCYDQJ4Goz;CT2CzbiNRz8ccgWQZR4BN7cpm3rDyWyQxUf5MNbMom7n;77725.2637
Ca5e3b2AmrL72V437MEZMYTLnNUEXTr2P1TZcGQgJPyP;CjspxRz7DTACphbx9J7ijypCvvVg3PHFo9rwmfajECfL;77722.5215
Laura Balaura;AddV9GtVTtepbNa7MBNDx81wTMRgnXf8nzhRuyinVab5;77720.5413
notAMD;FKVKr9AwXNx7e2uREBfVB6RKqbc7tjyXpGyGjwhSJnvr;77719.7332
3CSTv2qSP2wHfVojHhR4xbgCGfRerzFTTSpGyDp3UjKi;A8q1whmfdNKCNN2Y4Yjc4cnc4esCBcwXrcaWnYwrH4r6;77719.0039
7htu6a3yrQgYTq9XS57BUcQ1dDKnCq7ETrowgemS97xs;DimavhUqvCpWjUZqSFZGLqBiUVUYQ5jZEaCHutKKVs45;77718.8206
3hsuKJMFf8WrLfihsJPeLX3FdJF2nQu3iJr45pQux8Jy;He3DMcdGXKmd7WNziq1W979Fnyo1sVyWkVTz67Dk8oCQ;77710.6308
67iXZNZ4ytz3A23WueWr5B23WY7yHdESdRPGbVaPYkHw;AMZPPHg2Ht7PBMQuzwrk9FAx47xZVPwxSstC4GcuhfKo;77708.1282
Cr3NTaeoAVcT2qJsXxyx3V3XraVWD7Mje3TGzvK9xwsq;BQ8kUgoPwZ1HZKWPFKozv6dcXcmGrvbG8TCXZZXnjSJL;77703.9125
EWARp8Syq8cTWGWHtP5LT9fKAn5GvXfSCH8LfAwpgQ6m;4BVYjw1ztUzUPsxsaCheWWwThT2X4rjogZytGnuWPUGg;77703.3127
13xkw4jY5PvZnqCFZSTBQCjHGNd6VTu1A6PHF2rU9AnA;63CeFmqGDCSUUbF2EZ6UfMwoCzrZYJptAvj143qVeh1;77702.3693
E8oZCudfmScVwKEyYT9vX9WFn9wmTQro8EDNZQeV5a7F;DbPzQgfrGvNG6i5sYtQ3mGSKpGmbQfpqWHq5D7PCHwnq;77702.2839
AswkbUbQZz4guf3Ex45LFPgnSzFjsGumLCaHd142cmmx;Ac8zL56RqrEwZcJa2HL7ZVCBW8py1ehVYj5qmfJXcdFQ;77702.1258
3crXzLp31ZBmBaVtqqsyguv1QwrmTQeH544hmSmuX6UH;HsUhGC6yKwr8kLC5gdqVLrDfKsGCd2ZAXiabP1WojuzA;77701.9348
7e5JAoLeWUUXyzrKJASVvGPMyUFDTYx6bKMWL2tmcEtp;Fn8W13S1dgiqjoTESpWc6MXkVcUqw35orBKgL2aYzqVM;77697.9601
9obi1wz8nd2YPZ4cX8P8sH2pkRWe9btMHHKa3tjEhamQ;71mmEPyitXLyMeZBTd2YU6NahVSYwgJaK2DRMHvb4HUC;77697.7992
Hmube7PkFmvattfygQgEyWe4GfZ9Dskj4Zc9YFfRj9JU;HoFU1hVTYvh4ryBfbYCzTu9dBta73jX3Ag3rzzoqYJG6;77697.781
A4fxKaaNPBCaMwqKyhHxoWKJ5ybgvmmwTQmNmGtt2aoC;9esjPxaUdD7yg4yDrBkP3jLipcAGVjpLDXsddF89avzW;77696.1821
34yGBMEvrKfCU5YkDVD5arfNBgDA4VVef4KMamvZ6RhY;AnoFcEWKt7j9UuyvuNsJDbaRPrfo5LqpjvbxqQPswxn4;77694.9
G3x5eb53kUpp92FWiyqRWJ3Q6e9tH3dEjGDgDWYf6was;GFK84uv9cr1d6KnkPERSEYagTvpLKTuwa8W9adx1qMg6;77694.5055
3Hzz2uim2dSBbSBeJe7NgFzrf4arHwBeWJm5wRyw78zU;2Jc8YA9pjTBbhcjsk1hMrLzHN5buCiV9e1XXYNT5Ltju;77694.4989
MNDEE2sgqVKYUTKTpGTqJhdQfXz6CHW9JPWNhcBkSj6;MNDE6ueF5uMvyk3ohq7wWZ8H749pbpj1yHj2MvMRCJM;77693.5566
DBKSEwzFx3i64censdCm7v95Ujp2sFfMtksBACkET2Kh;ARondxXAhmFsVfVkhyBuCvnszpzpH2Joge1nD65L1G4V;77692.7774
5YuCLSG12wCj3H4WaEur19RnLHtkCFXQWMAjxPuYBxXN;7MMhQedcxv1ZLMthZsDtPYy14reJMYF1FbBVMba2FGK2;77692.6424
6ndBiQUXud6PWUnxb78enT2eQb9cDzAG7rjmBhZdExT4;Ao9NkiXW2k7DqdmN2QExfRKDW7hoVDLFPjJbcFTcHQ8t;77692.39
6wARr6hLphghdkFJJZj7MNKGtcJaF4bV8WEB2qToccYg;257RiTszC98omSCmX9KjNMwDDhiceGPcHtPyzC184D8R;77692.2396
FUhBaeztzSza7n5sM1TVkhfCtsfYe2FmqUkjjpQ1PHin;i6PZjkPHGYmPfPE8LsJuLn5huZyusXhmysiDiHGPjxb;77687.6891
34Eegy89hWD8HskhX8GzkkrEgdWDAAsTd5ZPKPHs6pBN;GPjDwfsmy8A8ZpPHB4uTwZQhPnbA3mRQeRsY58uXqeDy;77686.2747
StakeService;4dmBLJcchyfucSxkVmrymmsnVpZm3rBkp7kbF7qHTTYW;77685.5084
EAwpknXgKuZigFzLu6ybAjnJUBZh2WgX51bRh8aQRtLW;dm2s5zdPPcBrW4rCn94wQfxqo862VXacRgVKuukeypx;77681.0337
GmJZNahpvdqMFTtrqjLHC9UcsuE83Xk3DmgrSpqdWhWr;JBaE8QhwFwka2kZxdF1DJHKb7XGdSRuiWutVB9SyENbJ;77680.5543
F5NgZ5RtJW6fcDTcsYjSo8DgksbWx3mh4Ms2igbhHQTC;8EfUy8zz6DF2iTMQCUe4QAnoq4jVUzfU1yvZMCr2yJ7m;77679.9644
ChkH4bTk7c5NSGbxvXx89yY2oU7rFJsr3Cq1gPNCCPVe;D7ZCDE1PHe8duMjNpxwHrYbrRzcnsS7p4nD2daLzWwtr;77678.9493
S6tsEUhbX83UeGA5ZgEz7SKjPPgB557TuMNgnxGVTpx;6mq5wVChjZdq3DGc2cnmYzrGxMUHySSRdiGjT1YW9bky;77677.3225
5sQqxRuoBT17zbpSMwbcaRxZX2u3ZjfTKC5RAkspEwXi;ERXQNpsCnxHWhiTjFTKuRYRJs13hHqSKJdx5aDGe8Ww3;77673.5886
9PmKKKJpX9GHngrS3mYqsx87KvzLdZ8gGzCqF1pf4DHD;AJbWizQHtRi8kcvzsEqPnHyjzRZ9zk4mLMd8gDjtgtSn;77670.6276
7DWfjmZtryurJtUrpyALuuGqby2tjPzMjZL6vL7ujRBk;jVYhgtviF8DjxGQp3JYS6YZXoXA2LontoxK9cqQmjq3;77670.449
J8yuUUBEL1T1LKmWA9WCUgroEyhJP7AsA4GQMxtNuDUy;2FuJpNGYiXN2krdagzBRJxvigvjRhjLa3QEoTmXqa1gM;77668.4983
Wanderer's Validator;7kge23FTbCXc6dZxMPQfAWLnVFTgGzio5wpXUo9si2mV;77658.6161
CCzBYdGfETzRE2PYCLSX2aqo1pHPsagzLaZxnwa3N7XQ;6zQxjGdH1yfXSGCdBmxfRLx5hE4Zgh4zQE5mmb7Px2ax;77655.833
EK26xTH6QLS5uubx12av6XrmKH2eotCwAG9r7SBhbhGb;2UuXvFqNmyxsNygvFUfjmDGMGn7pGQ61t5CUzvgczazW;77652.4883
BWQyzbv91RiqL94DoCcXTYUqvpUrYdMF3N1N6qHNFtJm;Ap9QwurB2Jvj7uuFjyXsdWaRryFJQFdNttHZ9TB3W2bV;77651.4356
C6AwEu3aSxuA5jFGnWC1dQpVpPiDSoi7eM7hXo4agtwm;5kJituZ6Jg99XUT2CQP4GRgCmhJqF1DVbZcYk6aAHdTx;77644.019
8fp2i8jhVcspsXUcHMQAnfQknT9nmuxFASdv6kV2FkwU;Cc7UtVq4G25VbC3w6Ccs2XL2xikjc926q1sHp8zfddoL;77637.6668
DQCriUSqyokJw5gA7snLqXhscRc1a7wNdgkt2ZsmK7Yd;FSZ4GBucapayiQC8w1VNpKDmzM6NZDBSZmEFZsgMteRr;77636.312
AjfUXpuPLBFwB9NbhS8vYFgvf1tU5Xt7LG7yKAQpBTNE;8ygeLBNceokp2HfjUdg3pzii8MaqmHpAuuh3S5yvJVph;77632.8267
D96V9AW82F2BNrF3oyCPrGE3zM5mU8gyQvVtoEBwGTh4;FLVS6bn4dFUvrp6BkHBG2Tqey7MEemo6K7SLzyxYP88V;77632.5736
37HsQCcMyuTB8svEK6iFSBK6fe5U8NjR5UguHMceVa28;5YA5AexqMWr7mkToqDM2dnWBsXrZ52MXJVBmVYUSK5to;77632.4506
cybi55ebub37HZW9YmRaLh59Lh3kqaLTsEBQwW6vFkC;VaCdXKupamusfRsDf9Ai7e8Up36Z4f3MP6SqhnM7c76;77631.1011
6hB7ht6pw6hEpKFBfDWXhR3LUxUZXiBDauYUdR4s11bB;2cbRaWTzuPM2zbCaZDNbwft9omJBAyxcavJ6Xp2vQNNk;77630.511
GVPE2f5zsScWLjEHGFEMwZc5oqUSDXeJpKSzQ7bxB3qt;DWFxXbPAfgBnTSJoWBjJBtnKoKJxwXNtToV9tmTvQc8S;77630.3461
96XWbKem84optM8RLHhc8EYJQG8CCWA8F6oqWMPHDweN;3Qvmhayko5Yn3sSXDsHsMzS8QjdU4CshQF2y6L276kgi;77628.7003
5oidD5HF1Xau2pLvT9wcgrbeBDPbXrusYCQH1cTbsg7n;BLU4mrxkURvru5YHt4TzQu2qNFDU8PPGU3frSUxn4Zj9;77628.282
FAKUpR8McSoHT1sTksfJu3L1SpRtHK91ocDYtop4A7HW;2Aiyq2zob5ikUvmeRFz1xxoAqqDQYdvNhTTXYLCN1jGL;77627.5605
HvNzRtL2ivi7UnSXt8vvaMpYGw6tWrLBvx79VUpxiYbZ;ECtfR2fAwQV1GxhPqybdexz1cwJTDhSaeSQwuw6EG3Bw;77625.2853
2JntfHKiR7vrHbpTLTQhn2je1FsgstaxDhKHWLUFjkPS;5EhVqQ33L3bzHADbGckc8RQrPRSyyrrPZ7ej7Mgux6FL;77625.1637
7wEPjZKSQyyrMKD4jyc9Qcj48J5fpy77bXXoBfPFg1AA;AJeVAZafCgFZSbXTLNsGvih1QWUjnshCVR9ymL58vD1t;77624.8361
8RsF3KMu7YE2U9uugX7WRSUg8Szj9cc3shBCaV4HXNzV;HE1zd4TpbDuKzg6cqbk91XjSZELL7F33eqDinxj5hLfG;77624.1471
FFCXUpP3sSBBvXu4t6uoezRWfBBMxNf3juYJa4besVUs;2W7icpaM8pu7qShR5mxLCA64hjUx3ZTZqvx2P8C4Se6N;77623.7433
D35AyoGVA3GsQLgFs3opXBEuvW6EdNuYGSfEDxpsDojU;GAnbgkZq584QAdfZZzX8aCiKvDYcqszY3jGCiwqm3a9h;77622.641
GSMcSnQvRMayoeDpr6o4UVcHFbdsh7DBUwmLBCHU4jYG;2MyhCj9jdDiH4PQ2GiRs5S7qK9i6p9bgt4Kx7cX4i26T;77621.9956
FG5w8e7nBXivh4N5zwMDyFrj5sMx11NUnd5wCmNfPZ6b;3RhKQt1L4RtZMGMY111bjymGqKcd6ZbExux9NCm8t1hd;77620.8876
BntgMRh6UA6TPdQpkxV4dSogGZoPw5JBjUWdCsYX5Wx5;GyHM7HLmryEbnsK42abvCL2W2XAQLV3ijpYaZf5ietdQ;77619.6258
pJduweEK65mUmPGCbzvpPgEkLFoUUxntsis5q9bXiAf;Hi8vxcjvAoLSDB9a9xjreJBFurMg41UQhNndx3qS1BJW;77619.0714
DEyaaKr3BS6j7MEXbeQrZz74rN3YFoSbCgbJ5GGMzCLV;3yoaBCgeuNNCK7SWqUdSvbjKZdj9BeN3neQc647oUV8g;77618.7998
mmihal;AFcbrdKxdr2kS5za9U2WhRGLmGSaxC3J9ZzekM8hnXXq;77618.2181
4QPDHzck5VbGf2cxNM3KNTw1beryrUxb8TTvjgjovX4B;ANRnEc3NFWyDFkJNHPnts9XAT1odt931qbgzMsSGdE1z;77618.1644
5DbifLTeWTZCPRBntnnrsGPVXoPWzomDJ1sTPiWMS12n;HhsdMwhsaUgAtYZ2pedFEWZwsAhGZsjLF3sjFquS1H2Y;77617.6425
9Mgsqzth1dguCQQRdV7acbT2hcTPq3k7TEv1KM1Q38D4;EBGfQMkRqBZ6mj2AJ1UxwKD7MbiuMGJamzKZe2UZrG6B;77616.8478
Ti;8HKHFcDGkmeedbTcnK8ntXdqRhYJYWEGbk8325tgv47i;77613.7429
EAaijviraKWCWsVZtiZ5thhXoyoB5RP3HH1ZiLeLDcuv;EkPjdWCtnzinzkNpV1pCjaw4py5tDj8ihATUG3tkLWNN;77613.2504
Art;5K8qgC9nHzKHSSyo9fKLsMfYmavYdMgEaYx86cMmVKVv;77611.1064
3Apihqn2i3DrReaGXLk7XjvkYmYap42W33fqYxrxRGhG;EzbdAPRyZebKjxp7A1GGEBXY8RgimeVB8KR9mFPZqP7q;77608.6415
WSc5CmAvPGwBB38GWzx8veiJfouDWEynbU4V5fM5ybJ;9ZzkAEYFNGKHQefuiSJnZm6JEq5JwLD4Vm8NJbsGzeqF;77607.4889
6q4nsn4Jg5X26JzqB5xEz9BL33Aroc1YVsFCRKhm9qdd;DpZLBTc94PHUQLEsGh3mjRF2U9etouZbSVyAS5aqFrom;77606.6792
6RZshDYBGToKCniDjckyF3cR4NpuEVqZWwTcPZ54gELr;AkTJNhRStpi6FmehZi2tit96vQgXkmgpkfGfrp4krQuN;77606.5427
EWPP53ZmFP1Fj3dtSZKCUDPy7TVAABBjL6S2GpYZ6rGa;62wwu7fq8bh9gX9MUySZAGLDCBjMTni3yrMEnxzCgNyS;77604.0861
pgixuWVfFotnasNyvc3CkRa9nzQRXFpWTwoc6Rb22kb;BJ6RVC6Moc9mB8u3qcubnhS9ejninfPfXvz6kFGgRH8v;77604.0349
A23LfQn6khffj2hGhGfXr6P52W2pxrVcCaHVQLYQgiX2;53RJBy7aBGA7Aag6AryxEmBbsHDgwfBWagLrPbGHnfvR;77602.9137
F2cA8gbuB9MfLct8dEbhURag7MbbpRBppabrABdB1dqn;5YL32Gn6c8bPhum6WEgwnCpdtM8t8mSxRi4urcVvBZrj;77602.3978
5PNy1biHL3evjJRTdhqQuMXw4nGQVWMKXkYnwNGgNoQm;ju9bgL865bsxpZYYFGbT7nAWxadYrXiSqT1pxiL8xTg;77602.2005
5NiHw5LZn1FiL848XzbEBxuygbNvMJ7CsPvXNC8VmCLN;FGj3nQTn2Lwe9KkaKnFGm4HcxLSh8B8TjpvP4CinP4iX;77600.101
Q4VoDMWzNCQxNpCx5nytYUUmPFyNdpyhd9Bq7BBmBHs;HasVKk4i68KfhAx7DBkVtj32snFiStGxRvJpUHqT7Hjo;77598.7191
Shenon;6dAvPUPbFKz1rGLTaCDLC3XRcrJKEge6SQgTvthxQXak;77598.1423
Ee8dX3qtwrDRnxYK6NGQfmMeKT3Qpp2QZHpxiAiw23W9;5szskKdH8nfnUuHTvn9hnhH3Xuvo7RVmcDDvD5WD7yNh;77596.6401
EYDi1Z2BAfEvxrQd4Rj9JzH3A5KcxTB37QXYF8k6a8Sm;3m9CSkhxoD3qK99AN2WM8rSfKu91hcMnibr2NswVVbDR;77594.9806
FoCQPE5Q55aHjn3EFie3SSgCZBziHjMqNQq7xMygWRYx;A2GkHf71SqegGcLmhgs6XzR5YfLh5ZJ2Ci2vKM5SY5WR;77592.9093
7NU7hg2LyMeu7yE1zWGoCf5EU2LzFeeVaGKG4QnQko4U;8e8QYWHrPEEpAk7rDJ3BSKm9YGnfb8cwmGzo6EMb7tYb;77591.5345
Bxps8LSWxZVx618iK8rHvnCD5f9u7cTYuXz5sLsAGuSn;DDCWKg1piRArvzrfu3QC9bPKANz71LpYRuQaSJ2FnNQy;77590.4287
2mKEUVkcttHeMeaZK8jjwkuwGSdCBm23xDgzXgbhTdPe;EoMcV8x78aGZYN3RSW8xk311Q8xKNHMXF94UJaEzsMoW;77590.1669
EqSyU6o8Jxc7YK3cJd7Fy7UBBkkMVMGiCKG1y1ddJUF4;HaEqw4MVBiK22xoZxsKqpZa83kXtyJA2mPHsR5fDPrVL;77589.0974
Alex (Bambarello) Validator;C6uqzABsRPmFd14iL9Ej36AbddVxXPJWV6jwbLZYdYJM;77588.3755
FGF3Z7RtVzCZL1cmkt6ZUmzWuLvxXzqiS6Z9XM59bHsp;4o5Ti7wcsieUJ8eS4Ep1LERozxNmAWMDXWsta7FDzJzQ;77587.0214
3wtNDbzjvCQ8Wzmnu7zre1ZF6TMXfn3krmaCLXADyzUM;B1u239YMZcL2FuPRVHenVxd7sdUXdpVuqukLcoPbNP6V;77586.5295
3mPiMjCvfawQD753b3jw4YPWwywTg6bBrRwmj5gmXWcD;CL7oixKy7o7uYF6mvX1TNHwFBV6Baf7e1QkQ4ENHEw1K;77586.4799
HpszAuiaoGoZXfvuZds3gtVQ2ywV76eREHBGyyQovMhy;8WVqaMTGPKsVSFBBPgm1vHRvSzTZYhJStQhUva1jtg78;77584.6969
9UJg92qHaEP66sFq9DHFEQdBukaLeajUH8QCH5UcfFyC;5YMb9HYzBn9Mu2FxDKP9Pa6dUEcniFtwbewpGRu5EmfC;77583.4619
F5q2LhC4246qJwKN8anB9UPCKQAtvpoEpxZ8uiw4fsgz;3M4QYXfFM64wqSpSeQZWA6PJNmR6QQtF64BLzA9SG7ZD;77583.0839
4677LFwtHEGtAt3s8dK56JsA28BEu8iP8c5s9KHDMR7p;A8ARsTnLNEieHGNvnjoiJj9A1JY98dXbnohA18YRmDzN;77580.7912
9tnYyc44wfQxCUc1UifeQVKn3EPQM7pyC3k2LUkJQeda;4GBNbRQ9Jpq5oqU65GTmLjaH9xCwt1h7Y4HKiMcNudjX;77580.111
8Go6mzV5m1SdLcxHTxCyLpQrAr7CgyDdWt4FRH6SCLHi;6FMaXpe2KWDeqzKVuKBAJRgG79zARSLsFkwYyKrij4vX;77579.9535
9CqDvvGvSNVZDo5RskCAv4fTubpFCs9RLTrjUxEYrvNA;DzCirYWNsCECVHgSaMVg1mqMzKwtGuN2Pqm2a4HqVpTE;77579.2511
C1WasioKLnB2D9xiTQ2aDLS2cWKzaHLCVdDNMvgYtNMT;39xF5qkfK5HBaG4Hkq6bjumUB2k4B5ozEAmfZoobhUVw;77574.9349
31yTzM6jWsuMkfmhNZkYGTPLDaiAQ3vYDZHEwjb5uRRq;2yruMEFWuAJ9C2jv5JyjAfgTZVGhCmv5945TUwdP17kk;77574.1219
7VAxhRUMuGWf5sfE51pjjFmydcER3dfaXv3G6ia2Pr74;Cn9bZCGSYN57GsTfJ5YLCy8HMejHZqrBQkv99eusJtEH;77573.3534
8TmL4ympgFZJb5xeeEDcT82UAkZRBmZY72qzTMXJR29D;FqhGYvSrTwEnJv4VHJZx1oEtd5fewYcdi2CPsbKnSYhy;77572.4501
6AMQnAMmjQ3RNa4eCa8af8yhPU82pRnwhtr8c7kTsUGs;LbShbQMVKBiaTrxD7GWNEsCXb4bfFuQuEBxtX3eA7CX;77571.8095
7qf8xDhtzb4ctRUyJB6eaUXPn69wnx8A8pQVxYejaTLV;5HedSkUKfYmusiV7rAppuHbz7fp8JmUoLLJjJqCQLS5j;77571.4399
Cj9UuXrk8AJZByDN4SMtACgQQWcFAFrKEygwtErxrxWT;5woJQ7GLyexhbpT8wzQQV8keYgFhZaJWKf3QGHS4YPmd;77570.9533
dXtzi9ZfaenFmwDDCshVa8MKEejuQUTRC8bTW7vrYBq;3aHzcWLrkY2QrcDSR3bMbFWURRJWFojxh3o8wbEghXZ9;77570.7533
Xrh9LuJJSNWfN686vGbj7kYT9gvrchufFo64KHNqxA8;AMvyqeuRBxcDuy38MuGtPksvBtpuT3NPyoiVBDbzza6P;77570.6383
CQaFuTVTBQCcSpqjMUjdpfgeygbMPVJhobHxV5FitDFu;7tr5vUb3j36k4p9bs2tr1GwRFoSsEWd4LEut8e8HJZEv;77568.9086
BJafMGt4t8A9BENBg9EcXEAqUSgBLaQZujQqvrsGMgtL;8EHeAESs87EejfEMi6u1ndexywxGMAanV7QsUpDiseWP;77568.3428
Molostov;A6haEh7R7UHL42V5z5bXpzGMVecmudSeb3acWHQGqqr4;77568.1648
HjE3Aj5Z72U7k7p22qNqQnBr8VwtBj9hWkefZFFqmGNo;95GpgsEW3dfNUN3HVykjhKqRX6NvLaTeYUszvkcpx9Kg;77567.0429
F8XZDNSbZJMzb81o6gw4sRm2PzCF5RZoSuEsAHN7YRoT;9LSRBLpJMpejUeqmhVmwjHBVrptoCtbX6xWvx9qMmJcR;77565.6713
4BevYSucyVnLL6z1ybHh8KH5FnAhJCbX5gYhn5Dfz1FE;FJ7sKbuXR28w4K5EChBbi9tXYfCfrdpF4EaKnRvLPzL8;77563.8261
GX6kCVtpvFTGsedV72nK5K6VzY1bTCvqFmrtHkuZHGsX;4CaonBV9LeqJ2oGhTdbNMWKFcHMbLmCnpCyvrRZtLkz3;77562.1161
9fLbWSUhHX6cq157Zsqipsd47F3FANCiBDVLTpPCbuWU;ABCVgjWvM4M5z1qboHDFFZxvFqg8c7c1XLZb25fbdrSu;77562.1135
Andrey Kozak;FtsqyUJbftuKnXEicPt6Kq6HgdTxoJw4Cv3sPmsK5ooL;77560.4772
81cdDcQ3dSRasKX27c3jms2xdnxfiwqQUgQLuHfE4ZDL;9xrkErFEcs4WU75jQQtGEJfV4ePUEyGF2PU4b94BNy1i;77559.5984
Boss;3hHSwKHgnrbVDBWfkx6TJY1WABUoRs7Ve57sRTg9rAY9;77558.8873
HgrgNPfY8DsPxxPdmjxNTFXZpgiknZvPMXv9ipbZbbVM;7jp9iA5QF4VJrV1YZ47FqFDziuZALp9wJSWRLWBa4Lg7;77558.78
7oK1mEsVkMXgQUgW6uzA43Fo2jKLi89hV5fBC2BoxeaE;8zNMgzSg3GApmLSzKJF5dmKMydky8QjgBcRbPrUEL1xD;77557.567
4RptGbT4uki5zNeVwQviwFxADvEQRuEVMcqZpMXD5pKV;5mgExQhTBXbWuVjcbSPdwbsNdLKiWMNVcv4gei4VXBii;77555.4379
J1w9jrniqbA5Qnaf15eHV4t4TUNjKTJpAZ7FyJaPAP5Y;BPMkxiZyTkCfn5RbWxwbH5sTdJHwUAhzqWDtcfdpD33p;77555.1619
kaz4a;A8f4eVZPybix5Ep4W8Q6iAPZ83jo5Y2wWXttwF42MH87;77554.9774
pobeditel4eva;BNASDrv4EgCzUbUAVP6RR2G9wXYM6k2Tx2u3H9aGRZTW;77550.815
DerNode;DCkFCCEQCuRTcJ3y4rTnWyXnQsi5abfCFXPZZ7pjPJqG;77548.3645
HypKQcad9VesDa3d2HvV6nF54dXWGf3JDJ6maBcCdsfK;BbopLCVZ2AvboE9TNEfRMSToYN7j4jW8DvDx42whCr49;77546.8904
5LpsYxnc9m9E3ZZDa9EiqHqr3VcJW418kmMK4N7JHSL8;6sHtpsxU8KPY5cd6EbutSBUGaXnwu8r3voM3kgjSKoW9;77546.6025
Hs7iGFYpeuPhZGxGpYRfGkUW2m7wWkAGmw9xA9bc1tHi;6T5kjAEURp7jsEfX6NdQVczDseUgMFHtK349Agouwotq;77546.4339
Atx82a7iECXBo3Ac7WPd5n598CcCFjB9KvbKhTXzG5VN;7sywGRbKBLt38kJ7VuxXuTgRy76B4KQ9qMPMjcTG69rV;77545.1954
3Vf6ahmDLMqbV4zgKaN91tGc55sGjn2bcNPxeedoVN94;LZWtKCcDYaisWkFiHw8WR2eNuYivAmCFVUJBSU5LN37;77543.3467
Evgenii;5pcSptdL9QTfWLJS6ebhwGBKLeReVdyn5ixRdRbp7brh;77540.8176
CteW9gxQPykacgP6fsG7TgZHwzuGh3SC1LUCd9GcDNPW;A3sMR7KhVkjheCiaNbDSTAMzgiyRE3Ewm2n26C7iav7y;77540.5315
5kDUMbzxvNeZmTsfihooJkgnFX71wgP1H8jjeXncRBsu;DQRqi1v2un5eSoWxCkheGyVvcxm5LiMnxmSRUXazdGVX;77539.4583
FWDz8vCYk7vYCVTt14huTV2y4aQV3u3jc5qqCFBci8ou;2WrDvTbMJq9gCUkytxNcZH2YrEhARSszo8EHUyqUVqYE;77539.3118
3raZLZE6gqVDAHDqTkJfQ8eWPAMZpWgKLJP3TZKD5iVh;84gebYpPpEafPeGJUVA8QzfaTQC3GeyVufCTHpqsQqE2;77538.3595
D1KH1UwfTLaBW3NubpvNv4ze9S7SKW6jd5TLdrwZgLP1;1gqv7KGm888nQXsJoNFwGaDkNERUBztuekjzK3J3T7a;77536.3966
317qtuGJuJpFX7pYd3WhRCEwqKMjHmnA7ea7YemxpE5b;9MDcVy7CjbNuxUvSzeUFbppSP1XWzXGTPo1PiC4CqtGM;77534.4786
NodeWall;DHXbmu3KUhHYn2Trned5ZUaGC6GRgHYhJoRbCr75XQxj;77534.3383
