Identity;Vote_account;Active_stake
Aw5wEMXhbygFLR7jHtHpih8QvxVBGAMTqsQ2SjWPk1ex;33hurzEz6aEnzfESL6pnNyR6DCgcKzssT1pwSzDCBTRQ;2499999.9376
Block Logic | BL;9GJmEHGom9eWo4np4L5vC6b6ri1Df2xN8KFoWixvD1Bs;2445160.7293
Jito2 Validator;J1to2NAwajc8hD6E6kujdQiPn1Bbt2mGKKZLY9kSQKdB;2441984.9791
FbYX2uN573G5WsgiPdHU6fS5PNUyjdXfGfpZNkYUuT4k;E9W5kU2fnha9yp4RmFZgNNsRUvy6oKnB9ZyR9LC81WaE;2409417.9353
EkvdKhULbMFqjKBKotAzGi3kwMvMpYNDKJXXQQmi6C1f;3ZYJxzCeweSoh2Jj7oCgencFs9y27iKmXJeqYapje1cj;2399999.9928
BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH;G9x1mqewTeVnXLmv3FamYD5tq1AdS395RHH3MLQPj6TY;2399999.9928
AP9PtZU55e3oeDuFrfMtppD8YPotTzU8avZEnSboHNR7;3bUSP2i6eiBxMCQhrVWXJtdhUyM5wYdYBmNwfMuQkyST;2380869.5219
Kraken Validator;KRAKEnMdmT4EfM8ykTFH6yLoCd5vNLcQvJwF66Y2dag;2352422.322
22rU5yUmdVThrkoPieVNphqEyAtMQKmZxjwcD8v4bJDU;HxYHGzR58gyf6c4JAX85eK8GVuaZU2zne4be82Lq9SBQ;2322628.9921
6hPGtyetcZPrG3wVDUZJjCwn59Eum3roPzkd1nx2B3oV;5eGn6KxmWE4wRCzBs3MN2jNezSsXCqxt1Dn6QQVKYZNj;2281064.5553
HbidP4hpQdwhkzrxder3x3VNPt6DQnE25gFG46napD2p;HhYEE3dAShc3772wEiy73XDYnLjVxyBL8eAWKyRcF14y;2219666.4159
HnfPZDrbJFooiP9vvgWrjx3baXVNAZCgisT58gyMCgML;CxFH1pqJnEmyaE4wEwqdqMKpQMpkmdaMxhS7SzpHokA8;2182665.9196
Rockaway Blockchain Fund;RBFvvcGPBpgkBYmJGsphoDQJD8sszSuorM7TorWm12Y;2175486.413
AaapDdocMdZQaMAF1gXqKX2ixd7YYSxTpKHMcsbcF318;ALiQdX94fYbGUt8ar6chuAN1nj8g8bKSgJ7qV3W7bPsS;2147182.2826
5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm;DdCNGDpP7qMgoAy6paFzhhak2EeyCZcgjH7ak5u5v28m;2120706.7984
AEHqTB2RtJjegsR2ePjvoJSm6AA5pnYKWVbcsn6kqTBD;FjkSLYmi6BJAJQn1iSLUGrPrBQjMaD4y1DVdnv3yaTsX;2083334.2784
A5EGLkDcDFtMcB3Mtdn6cYgeAq1gDvx9Yop7y8eyt9MN;GCmFQLKYTRCpoqTJkcwSDKp6VViyC63H2ADzjwozXMwY;1980821.0056
Frog1Fks1AVN8ywFH3HTFeYojq6LQqoEPzgQFx2Kz5Ch;Pond1QyT1sQtiru3fi9G5LGaLRGeUpJKR1a2gdbq2u4;1971986.9932
CXPeim1wQMkcTvEHx9QdhgKREYYJD8bnaCCqPRwJ1to1;J1to1yufRnoWn81KYg1XkTWzmKjnYSnmE2VY8DGUJ9Qv;1942553.4203
Cogent51kHgGLHr7zpkpRjGYFXM57LgjHjDdqXd4ypdA;CogentC52e7kktFfWHwsqSmr8LiS1yAtfqhHcftCPcBJ;1897190.9941
7QQGNm3ptwinipDCyaCF7jY5katgmFUu1ieP2f7nwLpE;8BMMDVM8Tb88a2Hx1VSZ1TKmH1rMHbVU7xVafMk9JrEW;1875000.9514
