Node;Stake;;;247424142.6
NodeID-2yrtwg1pRGi9jB6ayaXgpNbMTeGHUyofw;1203545.23;;;
NodeID-8UyGqUcXpdfBbfZ7mBFs8o18y83jeaMyp;1178169.99;;;
NodeID-BTybEYu3y8aW54EK9SSivLUYn2fiCosjD;1153926.17;;;
NodeID-KcCxyypJ5m55f17fbuzkKqeotY64DScum;1143904.63;;;
NodeID-MVRcFZmxaMJWedF4oVqsxT2YYkX3kSuGG;1135943.06;;;
NodeID-DaKj4jkyyCN4B5zVW65krECqpjxYGUFzX;1131889.71;;;
NodeID-5mmVqScHrzTiSa2WVjo99g2yzL83EBS6W;1029688.43;;;
NodeID-Mdpo4kYtg8eqn61AhjTrZ51exnHLJmcpA;1026889.54;;;
NodeID-K2fyNZcrWA4DBUNyFme4pNshAgSw2YSSL;1025430.24;;;
NodeID-KZnxZckzgz9eQWzB3iuvM5GC2QdJLE5yv;1023026.53;;;
NodeID-B4EU3Tk8BsVczMpkPtJAqS9FSYxNjYNBz;1023000;;;
NodeID-KZLSjb8umvkj4nUVdARnY55NBKQcYfVV8;1021155.55;;;
NodeID-9Lyd45k1mXNkksF2C3nwgCJRX9YY42FT6;1018399.7;;;
NodeID-EMETD23g2Bne8CuQKyR8HB15KWomaAuFe;1017294.86;;;
(Genesis Entities) / 050;1015083.35;;;
(Genesis Entities) / 027;1013433.64;;;
NodeID-BR8ysKTDMKpwbgH9fsfCdVQWMsniMQBWp;1013267.86;;;
(Genesis Entities) / 028;1009744.21;;;
(Genesis Entities) / 014;1004884.03;;;
(Genesis Entities) / 051;1001165.11;;;
NodeID-zbFM8qH7MnQ8uo6rm4tZaq6vhbF4cpgt;993244;;;
NodeID-DAMYbaM35qcXWvuEKt6spGK6EzVKDJUkT;988191.92;;;
NodeID-KQfghSuT1CskYLvgrQAt6oxUQU7ask2QS;976342.94;;;
NodeID-3yiw3g5Rer7repmzoJaATJpkf7GnWD5j9;966741.21;;;
