Pools;Stake;Share
Single 102;3045685;0.01
Single 103;3045685;0.01
Single 104;3045685;0.01
Single 105;3045685;0.01
Single 106;3045685;0.01
Single 107;3045685;0.01
Single 108;3045685;0.01
Single 109;3045685;0.01
Single 110;3045685;0.01
Single 111;3045685;0.01
Single 112;3045685;0.01
Single 113;3045685;0.01
Single 114;3045685;0.01
Single 115;3045685;0.01
Single 116;3045685;0.01
Single 117;3045685;0.01
Single 118;3045685;0.01
Single 119;3045685;0.01
Single 120;3045685;0.01
Single 121;3045685;0.01
Single 122;3045685;0.01
Single 123;3045685;0.01
Single 124;3045685;0.01
Single 125;3045685;0.01
Single 126;3045685;0.01
Single 127;3045685;0.01
Single 128;3045685;0.01
Single 129;3045685;0.01
Single 130;3045685;0.01
Single 131;3045685;0.01
Single 132;3045685;0.01
Single 133;3045685;0.01
Single 134;3045685;0.01
Single 135;3045685;0.01
Single 136;3045685;0.01
Single 137;3045685;0.01
Single 138;3045685;0.01
Single 139;3045685;0.01
Single 140;3045685;0.01
Single 141;3045685;0.01
Single 142;3045685;0.01
Single 143;3045685;0.01
Single 144;3045685;0.01
Single 145;3045685;0.01
Single 146;3045685;0.01
Single 147;3045685;0.01
Single 148;3045685;0.01
Single 149;3045685;0.01
Single 150;3045685;0.01
Single 151;3045685;0.01
Single 152;3045685;0.01
Single 153;3045685;0.01
Single 154;3045685;0.01
Single 155;3045685;0.01
Single 156;3045685;0.01
Single 157;3045685;0.01
Single 158;3045685;0.01
Single 159;3045685;0.01
Single 160;3045685;0.01
Single 161;3045685;0.01
Single 162;3045685;0.01
Single 163;3045685;0.01
Single 164;3045685;0.01
Single 165;3045685;0.01
Single 166;3045685;0.01
Single 167;3045685;0.01
Single 168;3045685;0.01
Single 169;3045685;0.01
Single 170;3045685;0.01
Single 171;3045685;0.01
Single 172;3045685;0.01
Single 173;3045685;0.01
Single 174;3045685;0.01
Single 175;3045685;0.01
Single 176;3045685;0.01
Single 177;3045685;0.01
Single 178;3045685;0.01
Single 179;3045685;0.01
Single 180;3045685;0.01
Single 181;3045685;0.01
Single 182;3045685;0.01
Single 183;3045685;0.01
Single 184;3045685;0.01
Single 185;3045685;0.01
Single 186;3045685;0.01
Single 187;3045685;0.01
Single 188;3045685;0.01
Single 189;3045685;0.01
Single 190;3045685;0.01
Single 191;3045685;0.01
Single 192;3045685;0.01
Single 193;3045685;0.01
Single 194;3045685;0.01
Single 195;3045685;0.01
Single 196;3045685;0.01
Single 197;3045685;0.01
Single 198;3045685;0.01
Single 199;3045685;0.01
Single 200;3045685;0.01
Single 201;3045685;0.01
Single 202;3045685;0.01
Single 203;3045685;0.01
Single 204;3045685;0.01
Single 205;3045685;0.01
Single 206;3045685;0.01
Single 207;3045685;0.01
Single 208;3045685;0.01
Single 209;3045685;0.01
Single 210;3045685;0.01
Single 211;3045685;0.01
Single 212;3045685;0.01
Single 213;3045685;0.01
Single 214;3045685;0.01
Single 215;3045685;0.01
Single 216;3045685;0.01
Single 217;3045685;0.01
Single 218;3045685;0.01
Single 219;3045685;0.01
Single 220;3045685;0.01
Single 221;3045685;0.01
Single 222;3045685;0.01
Single 223;3045685;0.01
Single 224;3045685;0.01
Single 225;3045685;0.01
Single 226;3045685;0.01
Single 227;3045685;0.01
Single 228;3045685;0.01
Single 229;3045685;0.01
Single 230;3045685;0.01
Single 231;3045685;0.01
Single 232;3045685;0.01
Single 233;3045685;0.01
Single 234;3045685;0.01
Single 235;3045685;0.01
Single 236;3045685;0.01
Single 237;3045685;0.01
Single 238;3045685;0.01
Single 239;3045685;0.01
Single 240;3045685;0.01
Single 241;3045685;0.01
Single 242;3045685;0.01
Single 243;3045685;0.01
Single 244;3045685;0.01
Single 245;3045685;0.01
Single 246;3045685;0.01
Single 247;3045685;0.01
Single 248;3045685;0.01
Single 249;3045685;0.01
Single 250;3045685;0.01
Single 251;3045685;0.01
Single 252;3045685;0.01
Single 253;3045685;0.01
Single 254;3045685;0.01
Single 255;3045685;0.01
Single 256;3045685;0.01
Single 257;3045685;0.01
Single 258;3045685;0.01
Single 259;3045685;0.01
Single 260;3045685;0.01
Single 261;3045685;0.01
Single 262;3045685;0.01
Single 263;3045685;0.01
Single 264;3045685;0.01
Single 265;3045685;0.01
Single 266;3045685;0.01
Single 267;3045685;0.01
Single 268;3045685;0.01
Single 269;3045685;0.01
Single 270;3045685;0.01
Single 271;3045685;0.01
Single 272;3045685;0.01
Single 273;3045685;0.01
Single 274;3045685;0.01
Single 275;3045685;0.01
Single 276;3045685;0.01
Single 277;3045685;0.01
Single 278;3045685;0.01
Single 279;3045685;0.01
Single 280;3045685;0.01
Single 281;3045685;0.01
Single 282;3045685;0.01
Single 283;3045685;0.01
Single 284;3045685;0.01
Single 285;3045685;0.01
Single 286;3045685;0.01
Single 287;3045685;0.01
Single 288;3045685;0.01
Single 289;3045685;0.01
Single 290;3045685;0.01
Single 291;3045685;0.01
Single 292;3045685;0.01
Single 293;3045685;0.01
Single 294;3045685;0.01
Single 295;3045685;0.01
Single 296;3045685;0.01
Single 297;3045685;0.01
Single 298;3045685;0.01
Single 299;3045685;0.01
Single 300;3045685;0.01
Single 301;3045685;0.01
Single 302;3045685;0.01
Single 303;3045685;0.01
Single 304;3045685;0.01
Single 305;3045685;0.01
Single 306;3045685;0.01
Single 307;3045685;0.01
Single 308;3045685;0.01
Single 309;3045685;0.01
Single 310;3045685;0.01
Single 311;3045685;0.01
Single 312;3045685;0.01
Single 313;3045685;0.01
Single 314;3045685;0.01
Single 315;3045685;0.01
Single 316;3045685;0.01
Single 317;3045685;0.01
Single 318;3045685;0.01
Single 319;3045685;0.01
Single 320;3045685;0.01
Single 321;3045685;0.01
Single 322;3045685;0.01
Single 323;3045685;0.01
Single 324;3045685;0.01
Single 325;3045685;0.01
Single 326;3045685;0.01
Single 327;3045685;0.01
Single 328;3045685;0.01
Single 329;3045685;0.01
Single 330;3045685;0.01
Single 331;3045685;0.01
Single 332;3045685;0.01
Single 333;3045685;0.01
Single 334;3045685;0.01
Single 335;3045685;0.01
Single 336;3045685;0.01
Single 337;3045685;0.01
Single 338;3045685;0.01
Single 339;3045685;0.01
Single 340;3045685;0.01
Single 341;3045685;0.01
Single 342;3045685;0.01
Single 343;3045685;0.01
Single 344;3045685;0.01
Single 345;3045685;0.01
Single 346;3045685;0.01
Single 347;3045685;0.01
Single 348;3045685;0.01
Single 349;3045685;0.01
Single 350;3045685;0.01
Single 351;3045685;0.01
Single 352;3045685;0.01
Single 353;3045685;0.01
Single 354;3045685;0.01
Single 355;3045685;0.01
Single 356;3045685;0.01
Single 357;3045685;0.01
Single 358;3045685;0.01
Single 359;3045685;0.01
Single 360;3045685;0.01
Single 361;3045685;0.01
Single 362;3045685;0.01
Single 363;3045685;0.01
Single 364;3045685;0.01
Single 365;3045685;0.01
Single 366;3045685;0.01
Single 367;3045685;0.01
Single 368;3045685;0.01
Single 369;3045685;0.01
Single 370;3045685;0.01
Single 371;3045685;0.01
Single 372;3045685;0.01
Single 373;3045685;0.01
Single 374;3045685;0.01
Single 375;3045685;0.01
Single 376;3045685;0.01
Single 377;3045685;0.01
Single 378;3045685;0.01
Single 379;3045685;0.01
Single 380;3045685;0.01
Single 381;3045685;0.01
Single 382;3045685;0.01
Single 383;3045685;0.01
Single 384;3045685;0.01
Single 385;3045685;0.01
Single 386;3045685;0.01
Single 387;3045685;0.01
Single 388;3045685;0.01
Single 389;3045685;0.01
Single 390;3045685;0.01
Single 391;3045685;0.01
Single 392;3045685;0.01
Single 393;3045685;0.01
Single 394;3045685;0.01
Single 395;3045685;0.01
Single 396;3045685;0.01
Single 397;3045685;0.01
Single 398;3045685;0.01
Single 399;3045685;0.01
Single 400;3045685;0.01
Single 401;3045685;0.01
Single 402;3045685;0.01
Single 403;3045685;0.01
Single 404;3045685;0.01
Single 405;3045685;0.01
Single 406;3045685;0.01
Single 407;3045685;0.01
Single 408;3045685;0.01
Single 409;3045685;0.01
Single 410;3045685;0.01
Single 411;3045685;0.01
Single 412;3045685;0.01
Single 413;3045685;0.01
Single 414;3045685;0.01
Single 415;3045685;0.01
Single 416;3045685;0.01
